Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 68.0.3440.106,,2018-08-21 12:40:35,2018-08-21 12:40:45,"9,731s",PASSED
,,,,,,
Test Cases/TestCase1,Chrome 68.0.3440.106,,2018-08-21 12:40:35,2018-08-21 12:40:44,"9,089s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 12:40:36,2018-08-21 12:40:39,"3,070s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 12:40:39,2018-08-21 12:40:41,"2,285s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:40:41,2018-08-21 12:40:42,"0,574s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 12:40:42,2018-08-21 12:40:42,"0,193s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-21 12:40:42,2018-08-21 12:40:43,"0,473s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:40:43,2018-08-21 12:40:43,"0,401s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:40:43,2018-08-21 12:40:43,"0,146s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:40:43,2018-08-21 12:40:43,"0,405s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-21 12:40:43,2018-08-21 12:40:44,"0,989s",PASSED
